"TrawlRowID","SampleRowID","TowDuration","TrawlComments","StartMeter","EndMeter"
"{00002451-7B5A-47A8-8D9F-486D054DC257}","{86F7CBED-5943-46AB-A422-8F90871DF5B4}",5.00,,,
"{000A90EE-4520-4FB6-8F22-3DE9928ABF89}","{214AD24E-AC64-4D44-B217-EEC66E34FA5B}",5.00,"crew: Chris Enright, Bruce Herbold, Teejay O'Rear, Amy Chandos",,
"{001C1A05-F5EB-4E33-B387-300D013BD42E}","{102225B7-3961-4FD3-B4D9-F9273F3E518C}",5.00,,,
"{002ABBE5-8225-41C6-8A3A-F9AEE7467FA2}","{69D82352-BD40-4A27-9E68-9BA5174D61F8}",5.00,,,
"{0032471F-6A3E-409D-A22B-794A251B5962}","{74AAC127-B201-4011-A1A7-A70681D1E4F6}",5.00,,,
"{00374497-BC33-4BFC-BE5C-13B282981267}","{2E2EAA6E-49B8-408F-8C74-38A895301BBF}",10.00,,,
"{00398AF8-FCFB-4D2E-AA98-FFC7D365940F}","{7A88A6F7-5309-4F65-843A-9946AD870C93}",5.00,"recorder missed a couple fish",,
"{0048F941-6DED-4281-9C6A-85D08D0701EB}","{2554B177-B38E-49A3-B63D-0A1E08544C9E}",5.00,,,
"{004BB4BE-3AB6-48A1-9098-5DDF2D1E0C82}","{491EA3A6-ACEA-4298-B8D2-B8A9F27713B8}",10.00,,,
"{00520DB3-576D-4C48-ACF6-B3FB8BDED225}","{FBBA885E-31A4-43A0-AEC9-A8FC263EDD9D}",10.00,,,
"{0069911A-0E3A-4217-AFF8-8D4BFFB9D0E5}","{91758227-157F-417B-A018-FF46E5149A94}",5.00,,,
"{0069C734-B051-4785-BEB0-19EBF3A6F747}","{E846B1DF-324A-4212-A45F-02787547BA0A}",5.00,,,
"{00794D34-AA24-4365-993B-E3128AAC7164}","{2F8CE955-2C46-4B71-89CF-8B8CA997C6FB}",10.00,"crew: SP, AW, RQ, SB",,
"{007C2E38-B078-42D0-9514-7ECA80A93E3E}","{3F509438-95D1-4A51-B73E-C81D6D358D96}",5.00,,,
"{008C3377-77F9-422D-8505-238B1C4D8104}","{97619AF7-5D3D-4B70-B8F7-BBA2B5BA28D5}",5.00,"crew: AW, JD, DD; corophium rank = 5",,
"{0098CBE7-ADF2-4B87-A332-E84124668246}","{63054520-2F1B-4AE8-A8D1-4388E6BDD325}",10.00,,,
"{00A3D5D1-DE5D-434F-9BF3-76E37C0042D4}","{D469BBEF-FDD5-40C3-B8D1-559B1BBE923A}",5.00,,,
"{00AFD32D-D30E-4204-87E0-32F78E1168B7}","{44D6F8EB-5E3E-4C3B-BDEC-58AB10751AAE}",10.00,,,
"{00B69279-91A0-4D2B-AD6A-7EFCD71E7B65}","{992B4BDC-724C-419C-94DE-F53235A7F0CD}",5.00,"Engine not working well, min depth =0.4m",,
"{00BA8D4D-5732-41AE-B4C1-080BFADF0EC8}","{452A8AB5-3EF8-47C4-9D96-5D73EE13E0F9}",,"outfall DO: 4.1% & 0.35",,
"{00C4796B-95D8-45F7-B4D1-7F38DE66DA67}","{7D9F2149-C369-49BA-935C-C5B13F228B1D}",5.00,,,
"{00D20A20-0DF0-4E35-A777-DA8526B85AE2}","{12F6F82A-A891-4D1A-A585-36E5C68F2274}",5.00,"crew: TO, OR,GR, KB",,
"{00D519BC-D7EE-45AA-83C0-B02F59CABDFB}","{63C62543-49BC-4B28-B73B-EED0336554FD}",5.00,,,
"{00DAB0A9-7CF0-488B-97C1-BA2FAE8BD856}","{1C60C1B4-0712-402C-A6D7-CB82AA8D7A53}",5.00,"Exopaleomon with eggs, 50gobies < 20mm (sample preserved), CR - 4  XO=20+19+7",,
