"Date","Station","Tow","FishCode","Catch","1/4 Subsampled","1/2 Subsampled","CatchID"
1/5/2009 0:00:00,809,1,2,7,0,0,4829
1/5/2009 0:00:00,809,1,49,3,0,0,4828
1/5/2009 0:00:00,901,1,2,1,0,0,3
1/5/2009 0:00:00,902,1,49,7,0,0,4
1/5/2009 0:00:00,906,1,2,1,0,0,5
1/5/2009 0:00:00,912,1,49,1,0,0,6
1/5/2009 0:00:00,914,1,49,1,0,0,7
1/5/2009 0:00:00,915,1,49,6,0,0,8
1/5/2009 0:00:00,918,1,49,1,0,0,9
1/5/2009 0:00:00,919,1,49,1,0,0,10
1/6/2009 0:00:00,703,1,2,4,0,0,11
1/6/2009 0:00:00,703,1,49,2,0,0,12
1/6/2009 0:00:00,703,1,52,10,0,0,13
1/6/2009 0:00:00,704,1,2,3,0,0,14
1/6/2009 0:00:00,704,1,49,2,0,0,15
1/6/2009 0:00:00,704,1,52,2,0,0,16
1/6/2009 0:00:00,705,1,2,22,0,0,17
1/6/2009 0:00:00,705,1,49,5,0,0,18
1/6/2009 0:00:00,706,1,2,56,0,0,19
1/6/2009 0:00:00,706,1,49,2,0,0,20
1/6/2009 0:00:00,706,1,52,13,0,0,21
1/6/2009 0:00:00,707,1,2,6,0,0,22
1/6/2009 0:00:00,707,1,10,1,0,0,23
1/6/2009 0:00:00,707,1,49,1,0,0,24
1/6/2009 0:00:00,711,1,2,4,0,0,25
1/6/2009 0:00:00,716,1,2,1,0,0,26
1/6/2009 0:00:00,723,1,2,3,0,0,27
1/6/2009 0:00:00,812,1,49,2,0,0,28
1/6/2009 0:00:00,815,1,2,1,0,0,29
1/6/2009 0:00:00,815,1,49,1,0,0,30
1/7/2009 0:00:00,501,1,2,3,0,0,31
1/7/2009 0:00:00,501,1,10,1,0,0,32
1/7/2009 0:00:00,501,1,52,16,0,0,33
1/7/2009 0:00:00,508,1,2,13,0,0,34
1/7/2009 0:00:00,508,1,49,5,0,0,35
1/7/2009 0:00:00,508,1,52,119,0,0,36
1/7/2009 0:00:00,508,1,69,1,0,0,37
1/7/2009 0:00:00,513,1,2,22,0,0,38
1/7/2009 0:00:00,513,1,48,1,0,0,39
1/7/2009 0:00:00,513,1,49,5,0,0,40
1/7/2009 0:00:00,513,1,52,29,0,0,41
1/7/2009 0:00:00,519,1,2,8,0,0,42
1/7/2009 0:00:00,519,1,49,1,0,0,43
1/7/2009 0:00:00,519,1,52,38,0,0,44
1/7/2009 0:00:00,801,1,2,18,0,0,45
1/7/2009 0:00:00,801,1,52,30,0,0,46
1/7/2009 0:00:00,804,1,2,4,0,0,47
1/7/2009 0:00:00,804,1,49,4,0,0,48
1/7/2009 0:00:00,804,1,52,7,0,0,49
1/7/2009 0:00:00,804,1,59,1,0,0,50
1/8/2009 0:00:00,405,1,2,1,0,0,51
1/8/2009 0:00:00,405,1,48,1,0,0,52
1/8/2009 0:00:00,405,1,52,4,0,0,53
1/8/2009 0:00:00,411,1,10,6,0,0,54
1/8/2009 0:00:00,418,1,10,12,0,0,55
1/8/2009 0:00:00,418,1,13,1,0,0,56
1/8/2009 0:00:00,418,1,52,5,0,0,57
1/8/2009 0:00:00,418,1,59,1,0,0,58
1/8/2009 0:00:00,504,1,2,1,0,0,59
1/8/2009 0:00:00,504,1,13,1,0,0,60
1/8/2009 0:00:00,504,1,49,1,0,0,61
1/8/2009 0:00:00,504,1,52,1,0,0,62
1/8/2009 0:00:00,520,1,0,1,0,0,63
1/8/2009 0:00:00,520,1,2,4,0,0,64
1/8/2009 0:00:00,520,1,49,3,0,0,65
1/8/2009 0:00:00,520,1,52,3,0,0,66
1/8/2009 0:00:00,602,1,2,1,0,0,67
1/8/2009 0:00:00,602,1,10,2,0,0,68
1/8/2009 0:00:00,602,1,13,2,0,0,69
1/8/2009 0:00:00,602,1,48,1,0,0,70
1/8/2009 0:00:00,602,1,49,1,0,0,71
1/8/2009 0:00:00,602,1,52,65,0,0,72
1/8/2009 0:00:00,602,1,59,1,0,0,73
1/8/2009 0:00:00,606,1,2,10,0,0,74
1/8/2009 0:00:00,606,1,10,2,0,0,75
1/8/2009 0:00:00,606,1,49,2,0,0,76
1/8/2009 0:00:00,606,1,52,7,0,0,77
1/8/2009 0:00:00,606,1,53,1,0,0,78
1/8/2009 0:00:00,609,1,2,1,0,0,79
1/8/2009 0:00:00,609,1,49,35,0,0,80
1/8/2009 0:00:00,609,1,52,6,0,0,81
1/8/2009 0:00:00,610,1,2,1,0,0,82
1/8/2009 0:00:00,610,1,49,18,0,0,83
1/20/2009 0:00:00,809,1,2,46,0,0,84
1/20/2009 0:00:00,809,1,49,13,0,0,85
1/20/2009 0:00:00,901,1,2,17,0,0,86
1/20/2009 0:00:00,901,1,49,9,0,0,87
1/20/2009 0:00:00,902,1,2,7,0,0,88
1/20/2009 0:00:00,902,1,49,36,0,0,89
1/20/2009 0:00:00,906,1,2,3,0,0,90
1/20/2009 0:00:00,906,1,49,3,0,0,91
1/20/2009 0:00:00,910,1,49,6,0,0,92
1/20/2009 0:00:00,912,1,49,1,0,0,93
1/20/2009 0:00:00,914,1,2,2,0,0,94
1/20/2009 0:00:00,914,1,49,9,0,0,95
1/20/2009 0:00:00,915,1,2,3,0,0,96
1/20/2009 0:00:00,915,1,49,15,0,0,97
1/20/2009 0:00:00,918,1,2,1,0,0,98
1/20/2009 0:00:00,918,1,49,13,0,0,99
1/20/2009 0:00:00,919,1,49,5,0,0,100
1/21/2009 0:00:00,703,1,2,20,0,0,101
1/21/2009 0:00:00,703,1,10,1,0,0,102
1/21/2009 0:00:00,703,1,49,2,0,0,103
1/21/2009 0:00:00,704,1,2,77,0,0,104
1/21/2009 0:00:00,704,1,49,9,0,0,105
1/21/2009 0:00:00,705,1,2,129,0,0,106
1/21/2009 0:00:00,705,1,10,1,0,0,107
